"Nombre corto","Nombre","Año","Categoría","DOCENTE VIRTUAL","DOCENTE PRACTICO","Teórico Virtual (inicio)","Teórico Virtual (fin)","Instancia Presencial (inicio)","Presencial (fin)","Programado ","Mes","CET","ESTADO","Coordinador TRA","Observaciones","UTE Ó UTU","Relizado","Inscriptos","Modificado","Modificado por"
"SAL","Señalización de actividades y locales",,,,,"04/01/2024",,,,"False","Enero 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]","8:30 a 10:30","UTE","False",,"20/11/2024 13:33","Patrone, Federico"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""TECNICO SYSO"",""E. VARELA""]",,"09/01/2024","10/01/2024",,,"False","Enero 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]",,"UTE","Verdadero",,"20/11/2024 13:33","Patrone, Federico"
"MMC","Manipulación manual de cargas",,,,,"14/01/2024",,,,"False","Enero 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]","13:30 a 15:30","UTE","False",,"20/11/2024 13:33","Patrone, Federico"
"EPP","Equipos de protección personal",,,,,"14/01/2024",,,,"False","Enero 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]","8:30 a 12:30","UTE","False",,"20/11/2024 13:33","Patrone, Federico"
"NSH","Normativa en Seguridad e Higiene",,,,,"15/01/2024",,,,"False","Enero 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]","8:30 a 12:30","UTE","False",,"20/11/2024 13:33","Patrone, Federico"
"SAL","Señalización de actividades y locales",,,,,"16/01/2024",,,,"False","Enero 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]","13:30 a 15:30","UTE","False",,"20/11/2024 13:33","Patrone, Federico"
"CSI","Capacitación en Seguridad Industrial",,,,,"16/01/2024",,,,"False","Enero 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]","8:30 a 12:30","UTE","False",,"20/11/2024 13:33","Patrone, Federico"
"PPAA","Primeros Auxilios",,,,,"17/01/2024",,,,"False","Enero 2024","[""Leguizamón""]","CURSO REALIZADO","[""R. Graña""]",,"UTE","False",,"20/11/2024 13:33","Patrone, Federico"
"TEAMB+TEAM7","Tarea en Altura Módulo Base, Tarea en altura Equipos de Potencia",,,"[""TECNICO SYSO"",""M. ROMERO""]","[""M. ROMERO"",""E. VARELA""]","21/01/2024","22/01/2024","24/01/2024",,"False","Enero 2024","[""Melilla"",""Virtual""]","CURSO REALIZADO","[""R. Graña""]",,"UTE","False",,"20/11/2024 13:33","Patrone, Federico"
"MMC","Manipulación manual de cargas",,,,,"22/01/2024",,,,"False","Enero 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]","13:30 a 15:30","UTE","False",,"20/11/2024 13:34","Patrone, Federico"
"EPP","Equipos de protección personal",,,,,"22/01/2024",,,,"Verdadero","Enero 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]","8:30 a 12:30","UTE","False",,"20/11/2024 13:34","Patrone, Federico"
